os
Android
Bada
BlackBerry
Chrome OS
Firefox OS
FreeBSD
iOS
LG
Linux
Macintosh
Nintendo 3DS
Nintendo Wii
Nokia
Playstation 3
Playstation Vita
Samsung
Series40
Sony
SunOS
SymbianOS
Windows
Windows Phone
Xbox
